厂商,车型,年款,配置名称,官方指导价(万),特色功能,功能内容
智己汽车,智己LS7,2023款,Lux四驱版,39.98,中控下屏幕像素密度（PPI）,●200
智己汽车,智己LS7,2023款,Pro四驱版,45.98,中控下屏幕像素密度（PPI）,●200
智己汽车,智己L7,2024款,MAX 超长续航版,29.99,中控下屏幕像素密度（PPI）,●212
智己汽车,智己L7,2024款,MAX 长续航性能版,34.99,中控下屏幕像素密度（PPI）,●212
智己汽车,智己L7,2024款,MAX 长续航旗舰版,38.99,中控下屏幕像素密度（PPI）,●212
智己汽车,智己L7,2024款,MAX SP特别版,41.99,中控下屏幕像素密度（PPI）,●212
智己汽车,智己L7,2023款,Elite,33.88,中控下屏幕像素密度（PPI）,●200
智己汽车,智己L7,2023款,Snake Performance Lite,47.88,中控下屏幕像素密度（PPI）,●200
智己汽车,智己L7,2023款,Snake Performance,57.88,中控下屏幕像素密度（PPI）,●200
智己汽车,智己L7,2022款,Dynamic版,36.88,中控下屏幕像素密度（PPI）,●200
智己汽车,智己L7,2022款,Pro版,40.88,中控下屏幕像素密度（PPI）,●200
智己汽车,智己L6,2025款,Max 74kWh,21.99,中控下屏幕像素密度（PPI）,●212
智己汽车,智己L6,2025款,Max+ 74kWh,23.49,中控下屏幕像素密度（PPI）,●212
智己汽车,智己L6,2025款,Pro Max 100kWh,25.49,中控下屏幕像素密度（PPI）,●212
智己汽车,智己L6,2025款,Ultra 100kWh,27.99,中控下屏幕像素密度（PPI）,●212
智己汽车,智己L6,2024款,Max标准版 75kWh,21.99,中控下屏幕像素密度（PPI）,●212
智己汽车,智己L6,2024款,Max长续航欧版 83kWh,24.69,中控下屏幕像素密度（PPI）,●212
智己汽车,智己L6,2024款,Max长续航版 83kWh,25.99,中控下屏幕像素密度（PPI）,●212
智己汽车,智己L6,2024款,Max超长续航版 100kWh,27.59,中控下屏幕像素密度（PPI）,●212
智己汽车,智己L6,2024款,Max超强性能版 100kWh,30.59,中控下屏幕像素密度（PPI）,●212
智己汽车,智己LS6,2023款,Max 标准版,22.99,中控下屏幕分辨率,1500x1640
智己汽车,智己LS6,2023款,Max 长续航版,24.99,中控下屏幕分辨率,1500x1640
智己汽车,智己LS6,2023款,Max 超长续航版,27.39,中控下屏幕分辨率,1500x1640
智己汽车,智己LS6,2023款,Max 超强性能版,29.19,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max标准版 75kWh,21.99,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max 长续航欧版 83kWh,24.69,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max长续航版 83kWh,25.99,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max超长续航版 100kWh,27.59,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max超强性能版 100kWh,30.59,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max标准版 75kWh,21.99,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max 长续航欧版 83kWh,24.69,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max长续航版 83kWh,25.99,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max超长续航版 100kWh,27.59,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max超强性能版 100kWh,30.59,中控下屏幕分辨率,1500x1640
智己汽车,智己LS7,2024款,Max Elite 后驱版,33.98,中控下屏幕分辨率,1728x1888
智己汽车,智己LS7,2024款,Max Lux 后驱版,35.98,中控下屏幕分辨率,1728x1888
智己汽车,智己LS7,2023款,Urban Fit 后驱版,28.98,中控下屏幕分辨率,1728x1888
智己汽车,智己LS7,2023款,Urban Fit Pro 后驱版,30.98,中控下屏幕分辨率,1728x1888
智己汽车,智己LS7,2023款,Elite后驱版,32.98,中控下屏幕分辨率,1728x1888
智己汽车,智己LS7,2023款,Elite四驱版,34.98,中控下屏幕分辨率,1728x1888
智己汽车,智己LS7,2023款,Lux后驱版,37.98,中控下屏幕分辨率,1728x1888
智己汽车,智己LS7,2023款,Lux四驱版,39.98,中控下屏幕分辨率,1728x1888
智己汽车,智己LS7,2023款,Pro四驱版,45.98,中控下屏幕分辨率,1728x1888
智己汽车,智己L7,2024款,MAX 超长续航版,29.99,中控下屏幕分辨率,1500x1640
智己汽车,智己L7,2024款,MAX 长续航性能版,34.99,中控下屏幕分辨率,1500x1640
智己汽车,智己L7,2024款,MAX 长续航旗舰版,38.99,中控下屏幕分辨率,1500x1640
智己汽车,智己L7,2024款,MAX SP特别版,41.99,中控下屏幕分辨率,1500x1640
智己汽车,智己L7,2023款,Elite,33.88,中控下屏幕分辨率,1728x1888
智己汽车,智己L7,2023款,Snake Performance Lite,47.88,中控下屏幕分辨率,1728x1888
智己汽车,智己L7,2023款,Snake Performance,57.88,中控下屏幕分辨率,1728x1888
智己汽车,智己L7,2022款,Dynamic版,36.88,中控下屏幕分辨率,1728x1888
智己汽车,智己L7,2022款,Pro版,40.88,中控下屏幕分辨率,1728x1888
智己汽车,智己L6,2025款,Max 74kWh,21.99,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2025款,Max+ 74kWh,23.49,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2025款,Pro Max 100kWh,25.49,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2025款,Ultra 100kWh,27.99,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max标准版 75kWh,21.99,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max长续航欧版 83kWh,24.69,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max长续航版 83kWh,25.99,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max超长续航版 100kWh,27.59,中控下屏幕分辨率,1500x1640
智己汽车,智己L6,2024款,Max超强性能版 100kWh,30.59,中控下屏幕分辨率,1500x1640
长城汽车,哈弗猛龙,2023款,1.5T Hi4 102 探索版,17.38,选装包1,后桥电控式差速锁与露营灯 ○选配6000元
长城汽车,哈弗猛龙,2023款,1.5T Hi4 145 探索版,18.38,选装包1,后桥电控式差速锁与露营灯 ○选配6000元
一汽红旗,红旗EH7,2025款,600 Pro荣耀版,22.98,选装包1,高级外饰灯光包：红色侧旗标灯，灯毯式智能迎宾照地灯高级音响包：14红旗品牌扬声器，含主驾座椅头枕扬声器高级内饰氛围包：镭雕仿鹿皮/植鞣真皮座椅，高级内饰氛围灯舒享加热包：方向盘加热，后排座椅加热，低压风暖PTC ○选配30000元
一汽红旗,红旗EH7,2025款,690 Pro荣耀版,23.98,选装包1,高级外饰灯光包：红色侧旗标灯，灯毯式智能迎宾照地灯高级音响包：14红旗品牌扬声器，含主驾座椅头枕扬声器高级内饰氛围包：镭雕仿鹿皮/植鞣真皮座椅，高级内饰氛围灯舒享加热包：方向盘加热，后排座椅加热，低压风暖PTC ○选配30000元
一汽红旗,红旗EH7,2025款,640 Pro+ 四驱版荣耀版,25.98,选装包1,高级外饰灯光包：红色侧旗标灯，灯毯式智能迎宾照地灯高级音响包：14红旗品牌扬声器，含主驾座椅头枕扬声器高级内饰氛围包：镭雕仿鹿皮/植鞣真皮座椅，高级内饰氛围灯舒享加热包：方向盘加热，后排座椅加热，低压风暖PTC ○选配30000元
一汽红旗,红旗EH7,2025款,820 Pro荣耀版,26.98,选装包1,高级外饰灯光包：红色侧旗标灯，灯毯式智能迎宾照地灯高级音响包：14红旗品牌扬声器，含主驾座椅头枕扬声器高级内饰氛围包：镭雕仿鹿皮/植鞣真皮座椅，高级内饰氛围灯舒享加热包：方向盘加热，后排座椅加热，低压风暖PTC ○选配30000元
一汽红旗,红旗EH7,2025款,760 Pro+ 四驱版荣耀版,30.98,选装包1,高级外饰灯光包：红色侧旗标灯，灯毯式智能迎宾照地灯高级音响包：14红旗品牌扬声器，含主驾座椅头枕扬声器高级内饰氛围包：镭雕仿鹿皮/植鞣真皮座椅，高级内饰氛围灯舒享加热包：方向盘加热，后排座椅加热，低压风暖PTC ○选配30000元
一汽红旗,红旗EH7,2024款,600 Pro,22.98,选装包1,高级外饰灯光包：红色侧旗标灯，灯毯式智能迎宾照地灯 高级音响包：14红旗品牌扬声器，含主驾座椅头枕扬声器 高级内饰氛围包：镭雕仿鹿皮/植鞣真皮座椅，高级内饰氛围灯 舒享加热包：方向盘加热，后排座椅加热，低压风暖PTC ○选配3000元
一汽红旗,红旗EH7,2024款,690 Pro,23.98,选装包1,高级外饰灯光包：红色侧旗标灯，灯毯式智能迎宾照地灯高级音响包：14红旗品牌扬声器，含主驾座椅头枕扬声器高级内饰氛围包：镭雕仿鹿皮/植鞣真皮座椅，高级内饰氛围灯舒享加热包：方向盘加热，后排座椅加热，低压风暖PTC ○选配30000元
一汽红旗,红旗EH7,2024款,640 Pro+ 四驱版,25.98,选装包1,高级外饰灯光包：红色侧旗标灯，灯毯式智能迎宾照地灯 高级音响包：14红旗品牌扬声器，含主驾座椅头枕扬声器 高级内饰氛围包：镭雕仿鹿皮/植鞣真皮座椅，高级内饰氛围灯 舒享加热包：方向盘加热，后排座椅加热，低压风暖PTC ○选配30000元
一汽红旗,红旗EH7,2024款,820 Pro,26.98,选装包1,高级外饰灯光包：红色侧旗标灯，灯毯式智能迎宾照地灯 高级音响包：14红旗品牌扬声器，含主驾座椅头枕扬声器 高级内饰氛围包：镭雕仿鹿皮/植鞣真皮座椅，高级内饰氛围灯 舒享加热包：方向盘加热，后排座椅加热，低压风暖PTC ○选配30000元
一汽红旗,红旗EH7,2024款,760 Pro+ 四驱版,30.98,选装包1,高级外饰灯光包：红色侧旗标灯，灯毯式智能迎宾照地灯 高级音响包：14红旗品牌扬声器，含主驾座椅头枕扬声器 高级内饰氛围包：镭雕仿鹿皮/植鞣真皮座椅，高级内饰氛围灯 舒享加热包：方向盘加热，后排座椅加热，低压风暖PTC ○选配30000元
上汽通用五菱,五菱星光S PHEV,2024款,60km 进阶型,9.98,选装包1,电动尾门前排座椅通风加热后排座椅加热 ○选配暂无价格
上汽通用五菱,五菱星光S PHEV,2024款,130km 领航型,10.98,选装包1,电动尾门 前排座椅通风加热 后排座椅加热 ○选配暂无价格
上汽通用五菱,五菱星光S EV,2024款,510km 领航型,11.98,选装包1,电动尾门前排座椅通风加热后排座椅加热 ○选配暂无价格
吉利几何,吉利几何M6,2022款,580新乐版,17.28,选装包1,双向智能热泵空调系统 ○选配4000元
吉利几何,吉利几何M6,2022款,580新趣版,18.98,选装包1,双向智能热泵空调系统 ○选配4000元
长城汽车,哈弗H6,2024款,2.0T 自动两驱Max版,13.39,选装包1,前排座椅通风、主驾座椅8方向电动可调+记忆+迎宾、主驾座椅腰部支撑2向电动可调 ○选配2000元
长城汽车,哈弗H6,2024款,2.0T 自动四驱Max版,14.39,选装包1,前排座椅通风、主驾座椅8方向电动可调+记忆+迎宾、主驾座椅腰部支撑2向电动可调 ○选配2000元
吉利汽车,帝豪,2026款,第5代 1.5L CVT尊贵型,7.99,选装包1,L2级辅助驾驶系统 ○选配3000元
吉利汽车,帝豪,2026款,第5代 1.5T DCT尊贵型,8.79,选装包1,L2级辅助驾驶系统、豪华水晶挡把、50W无线风冷快充 ○选配6000元
吉利汽车,帝豪,2026款,第5代 1.5T DCT旗舰型,9.19,选装包1,豪华水晶挡把、50W无线风冷快充 ○选配3000元
吉利汽车,星瑞,2025款,2.0T 东方曜·揽星版,12.97,选装包1,前排座椅通风+主驾座椅记忆 ○选配暂无价格
长安马自达,马自达EZ-60,2025款,增程 200 Pro,14.49,选装包1,23扬声器豪华音响，含主/副驾头枕扬声器，搭配杜比全景声、HiFi原声等六大音效 ○选配5000元
长安马自达,马自达EZ-60,2025款,纯电 600 Pro,15.09,选装包1,23扬声器豪华音响，含主/副驾头枕扬声器，搭配杜比全景声、HiFi原声等六大音效 ○选配5000元
奇瑞汽车,风云T11,2026款,220后驱 双IMAX影院版,20.99,选装包1,9.2L电动智能冰箱（-18-6℃，35-50℃） ○选配5000元
奇瑞汽车,风云T11,2026款,220四驱 双IMAX影院版,22.99,选装包1,9.2L电动智能冰箱（-18-6℃，35-50℃） ○选配5000元
长安马自达,马自达EZ-60,2025款,增程 200 Pro,14.49,选装包1,23扬声器豪华音响，含主/副驾头枕扬声器，搭配杜比全景声、HiFi原声等六大音效 ○选配5000元
长安马自达,马自达EZ-60,2025款,纯电 600 Pro,15.09,选装包1,23扬声器豪华音响，含主/副驾头枕扬声器，搭配杜比全景声、HiFi原声等六大音效 ○选配5000元
长城汽车,Hi4-T,2026款,2.0T Hi4-T,28.58,选装包1,前桥电控式差速锁、后拖车取电口+拖车装置+牵引资质（最大允许牵引质量2500kg） ○选配8000元
长城汽车,Hi4-T,2026款,2.0T 智享版,29.98,选装包1,前桥电控式差速锁、后拖车取电口+拖车装置+牵引资质（最大允许牵引质量2500kg） ○选配8000元
奇瑞汽车,风云T11,2026款,220后驱 双IMAX影院版,20.99,选装包1,9.2L电动智能冰箱（-18-6℃，35-50℃） ○选配5000元
奇瑞汽车,风云T11,2026款,220四驱 双IMAX影院版,22.99,选装包1,9.2L电动智能冰箱（-18-6℃，35-50℃） ○选配5000元
长城汽车,Hi4-T,2026款,2.0T Hi4-T,28.58,选装包1,前桥电控式差速锁、后拖车取电口+拖车装置+牵引资质（最大允许牵引质量2500kg） ○选配8000元
长城汽车,Hi4-T,2026款,2.0T 智享版,29.98,选装包1,前桥电控式差速锁、后拖车取电口+拖车装置+牵引资质（最大允许牵引质量2500kg） ○选配8000元
长城汽车,Hi4-T,2024款,越野版,28.58,选装包1,
长城汽车,Hi4-T,2024款,城市版,28.98,选装包1,
奇瑞汽车,风云T11,2026款,220后驱 伯牙巨幕奢享版,18.99,选装包1,
奇瑞汽车,风云T11,2026款,220后驱 双IMAX影院版,20.99,选装包1,9.2L电动智能冰箱（-18-6℃，35-50℃） ○选配5000元
奇瑞汽车,风云T11,2026款,220四驱 双IMAX影院版,22.99,选装包1,9.2L电动智能冰箱（-18-6℃，35-50℃） ○选配5000元
奇瑞汽车,风云T11,2026款,220四驱 全家乐,24.99,选装包1,
蔚来,乐道L60,2024款,555km 标准续航版,20.69,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2024款,525km 标准续航四驱版,22.69,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2024款,730km 长续航版,23.59,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2024款,700km 长续航四驱版,25.59,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L90,2025款,六座版Pro,26.58,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,六座版Max,27.98,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,六座版Ultra,29.98,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,六座版 黑骑士特别版,30.68,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,七座版Pro,27.18,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,七座版Max,28.58,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,七座版Ultra,29.98,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,七座版 黑骑士特别版,30.68,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L60,2025款,560km 标准续航版,20.69,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2025款,530km 紫罗兰限定版,21.49,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2025款,530km 标准续航四驱版,22.69,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2025款,740km 长续航版,23.59,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2025款,707km 长续航四驱版,25.59,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2024款,555km 标准续航版,20.69,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2024款,525km 标准续航四驱版,22.69,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2024款,730km 长续航版,23.59,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2024款,700km 长续航四驱版,25.59,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L90,2025款,六座版Pro,26.58,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,六座版Max,27.98,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,六座版Ultra,29.98,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,六座版 黑骑士特别版,30.68,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,七座版Pro,27.18,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,七座版Max,28.58,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,七座版Ultra,29.98,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,七座版 黑骑士特别版,30.68,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L60,2025款,560km 标准续航版,20.69,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2025款,530km 紫罗兰限定版,21.49,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2025款,530km 标准续航四驱版,22.69,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2025款,740km 长续航版,23.59,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2025款,707km 长续航四驱版,25.59,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2024款,555km 标准续航版,20.69,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2024款,525km 标准续航四驱版,22.69,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2024款,730km 长续航版,23.59,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L60,2024款,700km 长续航四驱版,25.59,全场景领航辅助（NOA）订阅￥320/月,包含:红绿灯路口通行、环岛通行、无红绿灯路口通行、开放路口通行、动态车道(可变转向车道、潮汐车道、公交专用道和多乘员车道等)通行、雨天模式 ○选配暂无价格
蔚来,乐道L90,2025款,六座版Pro,26.58,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,六座版Max,27.98,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,六座版Ultra,29.98,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,六座版 黑骑士特别版,30.68,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,七座版Pro,27.18,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
蔚来,乐道L90,2025款,七座版Max,28.58,全场景领航辅助（NOA）订阅￥320/月,包含主动防御性驾驶、自动上下匝道、自动变道超车、自动根据导航路线变道、自动避让汇入口、障碍物跨车道绕行、红绿灯路口通行及左右转、无红绿灯路口通行及左右转、开放路口通行、环岛、掉头等场景通行。 ○选配暂无价格
